env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
69000,,,,,,,,,,,,,,1000,2570.2216,30.8621
69500,,,50,50,7,55.8138,-176.7649,4.2352,0.7375,-5.6035,3.2799,64.5054,1.6401,,,
70000,,,50,50,5,58.6287,-170.7302,4.5471,0.7898,-5.0796,4.2531,71.1028,2.7237,,,
70000,3915.7251,1000.0,,,,,,,,,,,,,,
70000,,,,,,,,,,,,,,1000,2869.4772,28.1097
70500,,,50,50,6,62.7423,-173.445,4.2581,0.8482,-5.9449,6.063,126.169,2.6243,,,
71000,,,50,50,6,61.9275,-181.1411,4.78,0.8108,-6.0395,5.9124,179.0954,3.0552,,,
71000,,,,,,,,,,,,,,1000,2534.6488,31.6588
71500,,,50,50,6,62.1857,-177.2469,4.9127,0.8342,-6.2783,5.6365,127.7909,2.4265,,,
72000,,,50,50,6,58.9467,-182.1223,5.4408,0.8318,-6.0212,4.8164,72.5198,2.5028,,,
72000,,,,,,,,,,,,,,1000,1206.4538,30.7762
72500,,,50,50,5,62.7094,-181.6817,3.8828,0.8297,-6.6359,3.7985,61.0687,2.5568,,,
73000,,,50,50,6,60.865,-175.8446,4.6744,0.7996,-6.0749,4.0262,205.5353,2.0864,,,
73000,,,,,,,,,,,,,,1000,2793.5922,30.9401
73500,,,50,50,6,62.1773,-186.0597,4.5596,0.8416,-6.6506,5.9437,121.3469,3.1525,,,
74000,,,50,50,5,60.4119,-186.6321,4.9865,0.8181,-6.1729,5.1306,144.8271,3.2442,,,
74000,,,,,,,,,,,,,,1000,2899.1298,31.689
74500,,,50,50,6,61.105,-180.7919,6.1093,0.7697,-5.7266,4.5752,122.6182,2.3979,,,
75000,,,50,50,5,63.3447,-189.26,4.1608,0.7946,-6.3254,4.1565,57.0957,3.2144,,,
75000,3961.3102,1000.0,,,,,,,,,,,,,,
75000,,,,,,,,,,,,,,1000,3038.9732,28.0195
75500,,,50,50,6,65.4904,-193.6385,5.5402,0.8671,-6.8118,4.1397,121.4738,2.8004,,,
76000,,,50,50,6,67.4504,-192.7646,5.2703,0.8553,-6.4838,4.7118,65.9894,2.5382,,,
76000,,,,,,,,,,,,,,1000,3145.1624,31.0394
76500,,,50,50,4,71.1149,-192.9026,3.8174,0.8396,-7.2671,8.7774,204.1239,3.4507,,,
77000,,,50,50,5,68.2563,-194.2339,4.5475,0.8442,-6.8437,6.0794,180.3016,4.4959,,,
77000,,,,,,,,,,,,,,1000,3023.456,31.0346
77500,,,50,50,5,66.572,-199.2252,4.3699,0.7874,-6.424,6.6168,161.1118,2.6336,,,
78000,,,50,50,4,69.3423,-202.0121,4.5149,0.8506,-6.704,4.7116,135.5756,2.1483,,,
78000,,,,,,,,,,,,,,1000,3107.8074,30.988
78500,,,50,50,4,70.2422,-204.9872,4.7431,0.8488,-6.6584,7.3913,136.4478,3.5546,,,
79000,,,50,50,4,70.8576,-207.6382,4.3708,0.8629,-7.6442,3.5426,163.0893,3.0799,,,
79000,,,,,,,,,,,,,,1000,3130.7479,31.1385
79500,,,50,50,3,77.6099,-204.8543,4.9152,0.8288,-7.842,5.7633,294.2133,3.5975,,,
80000,,,50,50,5,72.4151,-200.7452,3.6588,0.8077,-6.8205,3.6096,139.4995,3.8263,,,
80000,3987.3905,1000.0,,,,,,,,,,,,,,
80000,,,,,,,,,,,,,,1000,1406.2739,27.9427
80500,,,50,50,4,70.1018,-208.9414,5.159,0.8753,-6.9954,5.8371,250.3587,3.3856,,,
81000,,,50,50,3,73.2033,-216.2624,7.7072,0.8055,-7.0704,5.1041,137.6852,2.9636,,,
81000,,,,,,,,,,,,,,1000,1708.6105,31.322
81500,,,50,50,3,72.6072,-208.998,4.752,0.8683,-7.2018,5.3444,151.0599,4.0476,,,
82000,,,50,50,3,74.8373,-214.3614,4.9315,0.8812,-8.0514,4.6438,108.6086,3.3229,,,
82000,,,,,,,,,,,,,,1000,3268.0958,31.3556
82500,,,50,50,4,73.374,-213.0134,5.3688,0.8522,-7.6777,5.306,178.0941,3.5955,,,
83000,,,50,50,3,74.8434,-207.8037,6.2935,0.8025,-6.9589,4.8328,70.1405,2.4199,,,
83000,,,,,,,,,,,,,,1000,2330.3359,31.1211
83500,,,50,50,3,75.951,-209.1937,5.4656,0.8362,-7.6405,11.2523,232.0871,4.0805,,,
84000,,,50,50,4,74.4158,-210.091,3.6071,0.8233,-7.5616,5.7046,195.4558,4.6221,,,
84000,,,,,,,,,,,,,,1000,3416.778,31.1565
84500,,,50,50,3,81.3916,-217.2174,6.7681,0.7841,-7.4054,5.7017,191.7158,2.9307,,,
