env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
87000,,,-252.1475,4.4903,0.0029,-0.0432,2.8098,99.8874,3.4316,,,
87000,,,,,,,,,,1000,4092.7966,12.0579
87500,,,-252.5813,3.7577,0.0034,-0.0481,2.8183,144.3204,3.6238,,,
88000,,,-254.5398,3.2743,0.0034,-0.0481,3.1876,157.8335,5.4822,,,
88000,,,,,,,,,,1000,4297.0572,11.8022
88500,,,-259.5412,4.0886,0.0045,-0.0593,2.7778,197.0454,6.0664,,,
89000,,,-256.9323,4.9287,0.0028,-0.0423,3.2164,230.0069,4.9453,,,
89000,,,,,,,,,,1000,4214.7042,11.793
89500,,,-264.554,3.7617,0.0031,-0.0463,3.1424,126.1895,5.3775,,,
90000,,,-270.4948,3.736,0.0033,-0.0475,3.1031,66.3463,3.5412,,,
90000,4841.4127,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,4427.4096,11.1693
90500,,,-261.2071,4.3703,0.0031,-0.0466,3.3543,169.223,6.8792,,,
91000,,,-269.527,3.9922,0.0033,-0.0472,3.2057,152.4208,4.2813,,,
91000,,,,,,,,,,1000,4243.618,11.7701
91500,,,-269.9068,4.0254,0.0034,-0.0494,3.5505,351.1364,4.3817,,,
92000,,,-268.7425,4.4915,0.0034,-0.0486,3.3533,199.8487,5.5279,,,
92000,,,,,,,,,,1000,4440.4087,11.5492
92500,,,-273.2542,4.3002,0.0034,-0.0472,4.1373,304.8411,4.6535,,,
93000,,,-276.4798,4.9287,0.0033,-0.0475,3.5529,163.5469,7.6656,,,
93000,,,,,,,,,,1000,4551.1869,11.6647
93500,,,-280.3596,3.449,0.003,-0.0457,3.5454,83.7311,4.3112,,,
94000,,,-276.8,3.8351,0.003,-0.0442,3.047,79.1882,4.1486,,,
94000,,,,,,,,,,1000,4574.0624,11.7618
94500,,,-278.5329,3.3472,0.0034,-0.0486,4.1442,294.9164,2.8026,,,
95000,,,-279.2937,4.5589,0.003,-0.045,3.6905,179.9929,3.6442,,,
95000,5131.3359,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,4796.9872,11.1456
95500,,,-287.9875,2.9698,0.0034,-0.0493,3.2697,134.2282,5.5024,,,
96000,,,-290.9576,4.5482,0.0048,-0.0592,3.3795,172.6759,7.1765,,,
96000,,,,,,,,,,1000,4677.8878,12.3575
96500,,,-288.4146,3.775,0.0029,-0.0439,3.7097,252.2986,4.4042,,,
97000,,,-290.8102,3.7616,0.0031,-0.0461,3.6332,156.0696,3.8244,,,
97000,,,,,,,,,,1000,4877.9861,12.2975
97500,,,-296.0469,3.3432,0.0029,-0.0425,3.8398,278.5281,3.9565,,,
98000,,,-294.9053,4.1134,0.0035,-0.0471,3.4996,131.0873,5.023,,,
98000,,,,,,,,,,1000,4696.3894,13.189
98500,,,-296.226,3.1184,0.0029,-0.0442,4.2681,274.414,4.8115,,,
99000,,,-303.6673,3.3192,0.0029,-0.0421,3.6047,149.1647,3.9548,,,
99000,,,,,,,,,,1000,4876.3598,12.2283
99500,,,-299.7788,4.0692,0.003,-0.0447,3.7451,115.0868,6.0682,,,
100000,,,-307.1797,5.3559,0.0032,-0.0448,4.0734,201.4171,7.3215,,,
100000,5375.5335,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,4955.47,11.2858
100500,,,-299.7003,4.3307,0.0032,-0.0458,4.1486,175.7447,5.9585,,,
101000,,,-306.9877,3.0052,0.0025,-0.0415,4.4959,226.9507,5.0122,,,
101000,,,,,,,,,,1000,5141.7912,11.7067
101500,,,-315.5153,7.3804,0.0032,-0.0476,4.0186,140.2119,10.8771,,,
102000,,,-320.0798,4.6683,0.0028,-0.0441,4.7567,256.3065,7.1374,,,
102000,,,,,,,,,,1000,5034.6155,12.2089
102500,,,-321.6164,5.0649,0.0027,-0.0411,5.0395,401.6352,8.1857,,,
103000,,,-323.8248,4.8687,0.0029,-0.0433,4.1469,203.8203,5.8499,,,
103000,,,,,,,,,,1000,5059.2597,11.8406
103500,,,-321.3164,4.3124,0.0028,-0.0409,3.779,211.984,4.8991,,,
104000,,,-327.9672,3.6077,0.0027,-0.0423,3.8969,128.2997,4.8838,,,
104000,,,,,,,,,,1000,5065.9696,11.7112
104500,,,-333.4735,3.9569,0.0027,-0.0414,4.4298,173.1136,5.3769,,,
105000,,,-334.8808,4.6471,0.003,-0.0446,4.0933,346.2112,6.7718,,,
105000,5533.2884,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,5166.5879,11.5293
105500,,,-339.4987,6.4948,0.0032,-0.0441,4.8056,105.3069,11.2952,,,
106000,,,-342.8727,5.8387,0.0029,-0.0437,4.2028,214.9117,11.0548,,,
