env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
58000,,,,,,,,,,,,,,,,,1000,1623.1946,37.7757
58500,,,50,50,10,67.8423,0.9371,0.7319,1.3984,0.8718,-146.2794,2.8725,0.3368,3.9032,96.3229,2.2537,,,
59000,,,50,50,10,70.9507,1.0239,0.7503,1.4361,0.8939,-141.4681,3.2124,0.3002,4.6298,300.6947,2.6056,,,
59000,,,,,,,,,,,,,,,,,1000,1780.0416,37.6697
59500,,,50,50,11,62.1116,1.0003,0.805,1.4146,0.9465,-145.7816,3.4692,0.308,3.4922,104.454,3.3818,,,
60000,,,50,50,11,72.685,1.0757,0.8365,1.4634,0.9829,-149.7329,3.1083,0.2783,3.2846,55.5,2.4235,,,
60000,2758.7379,1000.0,,,,,,,,,,,,,,,,,
60000,,,,,,,,,,,,,,,,,1000,1740.7748,28.8917
60500,,,50,50,11,66.7221,0.9194,0.6221,1.3348,0.7555,-147.1792,3.1179,0.3305,4.6956,126.6951,1.9955,,,
61000,,,50,50,10,69.2926,1.0382,0.7753,1.4765,0.9229,-148.9457,3.674,0.2818,3.4724,134.6823,1.9691,,,
61000,,,,,,,,,,,,,,,,,1000,1796.9329,37.0992
61500,,,50,50,12,63.9306,0.9694,0.6383,1.3892,0.7772,-148.0019,2.6646,0.2527,2.9075,154.4657,2.9321,,,
62000,,,50,50,10,70.3103,0.983,0.7319,1.4271,0.8746,-154.6784,4.8941,0.3168,2.3866,46.2599,2.8665,,,
62000,,,,,,,,,,,,,,,,,1000,2007.6814,37.5094
62500,,,50,50,10,66.22,0.968,0.6689,1.3536,0.8043,-149.2967,4.5792,0.271,3.1948,58.6998,3.0414,,,
63000,,,50,50,11,67.0638,1.0371,0.7619,1.4247,0.9044,-156.6872,3.4697,0.2926,3.1629,226.5375,2.8063,,,
63000,,,,,,,,,,,,,,,,,1000,1976.2012,37.1091
63500,,,50,50,11,67.709,0.9857,0.7584,1.4484,0.9032,-152.0653,4.1578,0.3076,3.4167,65.5732,2.2052,,,
64000,,,50,50,9,76.0863,1.0362,0.7101,1.4672,0.8568,-155.3878,2.9235,0.2865,2.2561,54.691,2.3917,,,
64000,,,,,,,,,,,,,,,,,1000,2101.5307,37.2471
64500,,,50,50,10,69.6431,1.0544,0.7966,1.4688,0.9435,-159.5368,4.4252,0.2904,5.4367,116.2126,2.1691,,,
65000,,,50,50,10,77.7833,1.0629,0.7717,1.4948,0.9212,-153.3466,4.5039,0.2864,12.1608,173.3695,2.231,,,
65000,2822.637,1000.0,,,,,,,,,,,,,,,,,
65000,,,,,,,,,,,,,,,,,1000,2078.5649,28.3273
65500,,,50,50,7,81.1649,1.063,0.7441,1.4628,0.8904,-163.6387,4.6781,0.2869,5.6068,148.0284,2.7397,,,
