env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
29500,,,,,,6,3,1,2995.7642,111.82,176.9881,56.1414,5.732,2026.2751,0.0
30000,,,,,,6,3,1,2891.9905,75.8528,32.0012,21.9786,3.7183,2160.4138,0.0
30000,-181.806,1600.0,,,,,,,,,,,,,
30500,,,,,,7,3,1,2961.2732,97.3541,107.5668,42.5631,7.1614,4644.6992,0.0
30629,,,1600,-140.2258,18.6903,,,,,,,,,,
31000,,,,,,6,3,1,2915.979,125.7725,321.5475,73.221,2.8415,2502.5779,0.0
31500,,,,,,6,3,1,2874.9363,116.6925,124.4599,64.2001,4.0917,1251.0011,0.0041
32000,,,,,,6,3,1,2847.0796,86.0314,176.5034,32.9102,4.5422,1853.7924,0.0024
32229,,,1600,-139.6875,25.9072,,,,,,,,,,
32500,,,,,,5,3,1,2887.1812,61.7312,127.5065,12.4545,4.8727,3173.8452,0.0
32872,,,643,-152.8745,24.9412,,,,,,,,,,
33000,,,,,,6,3,1,2832.8445,130.8491,252.8692,81.4001,5.1841,2373.8372,0.0
33500,,,,,,6,3,1,2857.8857,99.7489,139.2551,46.5807,3.5784,1817.5078,0.0
34000,,,,,,6,3,1,2916.5393,105.6454,298.0949,56.9198,6.0142,4620.4902,0.0
34472,,,1600,-141.3424,25.8343,,,,,,,,,,
34500,,,,,,7,3,1,2844.696,101.3637,213.0657,48.5874,4.3302,2260.7749,0.0
34569,,,97,-108.9885,24.7612,,,,,,,,,,
34680,,,111,-104.1201,29.0509,,,,,,,,,,
34758,,,78,-109.9299,26.0224,,,,,,,,,,
35000,,,,,,6,3,1,2760.1533,82.3204,290.2962,32.241,2.8344,1557.8997,0.0
35000,-179.2976,1600.0,,,,,,,,,,,,,
35500,,,,,,5,3,1,2976.8975,75.705,141.6263,25.486,2.3555,696.2951,0.0
36000,,,,,,5,3,1,2910.6199,107.0522,227.4071,56.6532,2.7978,1479.9834,0.0
36358,,,1600,-144.522,18.6859,,,,,,,,,,
36437,,,79,-120.1796,26.161,,,,,,,,,,
36500,,,,,,6,3,1,2897.9155,91.3732,130.3302,39.0098,6.0954,3880.4165,0.0
37000,,,,,,6,3,1,2937.7163,65.9213,192.6982,16.0272,4.2332,1258.9907,0.0
37500,,,,,,6,3,1,2858.657,86.6578,124.1116,36.1932,5.3852,2288.3486,0.0
38000,,,,,,5,3,1,2922.9128,75.6483,53.991,25.0164,3.1417,605.6477,0.0
38037,,,1600,-144.0114,27.2581,,,,,,,,,,
38146,,,109,-109.7771,27.3597,,,,,,,,,,
38261,,,115,-105.0267,25.1923,,,,,,,,,,
38500,,,,,,5,3,1,2931.8755,142.0668,70.9104,92.1951,2.3612,443.243,0.0
39000,,,,,,5,3,1,3034.0513,69.7905,116.8774,19.6806,4.6708,3137.5625,0.0
39500,,,,,,4,2,1,2957.9756,134.2773,3.6029,83.4256,6.472,1603.9419,0.0
39861,,,1600,-142.1953,26.3965,,,,,,,,,,
40000,,,,,,5,3,1,2908.4321,72.6606,118.9927,23.6252,5.2661,2002.8577,0.0
40000,-150.9981,1004.8,,,,,,,,,,,,,
40500,,,,,,6,3,1,2907.3774,110.3554,293.9302,61.1599,3.5104,2196.511,0.0
41000,,,,,,6,3,1,2836.9646,159.0448,363.1807,109.9718,4.7527,1055.8076,0.0
41461,,,1600,-143.9605,20.8941,,,,,,,,,,
41500,,,,,,5,3,1,2877.4126,65.7104,53.2235,17.0424,5.7182,1395.8993,0.0019
41563,,,102,-109.1985,26.738,,,,,,,,,,
42000,,,,,,4,3,1,2921.2729,74.5984,80.964,25.4126,6.05,803.765,0.0
42500,,,,,,5,3,1,2958.4263,100.2211,151.0027,50.1657,6.3649,4879.6128,0.0
43000,,,,,,5,3,1,2971.6135,81.1012,240.4395,30.6361,4.0388,2289.8965,0.0
43163,,,1600,-148.9159,26.647,,,,,,,,,,
43500,,,,,,4,3,1,2955.48,65.5242,178.2001,14.3076,4.5672,3331.6492,0.0
44000,,,,,,4,2,1,2822.9429,83.7735,99.8983,34.7694,6.9616,1907.8478,0.0
44500,,,,,,6,3,1,2958.7642,124.2183,504.2256,72.5203,3.7504,2317.5789,0.0
44763,,,1600,-142.3756,26.6402,,,,,,,,,,
45000,,,,,,5,3,1,2930.0063,101.8269,192.1096,49.0843,9.2278,6878.1118,0.0
45000,-181.7878,1600.0,,,,,,,,,,,,,
45500,,,,,,5,3,1,2940.1538,90.1507,138.151,36.7967,5.3196,1661.0394,0.0007
45760,,,997,-185.4751,15.9951,,,,,,,,,,
45873,,,113,-103.2456,25.0159,,,,,,,,,,
46000,,,,,,5,3,1,2857.2307,117.3637,193.8312,63.6033,5.5741,1801.5576,0.0
46500,,,,,,6,3,1,2866.5376,108.75,375.0049,53.7995,4.0352,532.3378,0.0
47000,,,,,,6,3,1,3026.4246,101.1942,226.7489,47.0726,6.9318,3443.8345,0.0
47473,,,1600,-143.5589,26.8205,,,,,,,,,,
