env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
21700,,,50,-49.6794,84.3215,,,,,,,
21750,,,50,-54.2289,84.2463,,,,,,,
21800,,,50,-53.1612,84.5724,,,,,,,
21850,,,50,-52.1489,91.1355,,,,,,,
21900,,,50,-48.7183,90.904,,,,,,,
21950,,,50,-48.549,85.8042,,,,,,,
22000,,,,,,19.0819,4.0034,0.0005,-0.0172,0.2781,20.9388,0.8345
22000,,,50,-47.4858,84.1715,,,,,,,
22050,,,50,-46.0957,83.808,,,,,,,
22100,,,50,-46.2098,84.4712,,,,,,,
22150,,,50,-49.1266,84.4208,,,,,,,
22200,,,50,-46.6709,84.5335,,,,,,,
22250,,,50,-45.5722,84.7196,,,,,,,
22300,,,50,-59.6385,89.3768,,,,,,,
22350,,,50,-56.8231,91.0113,,,,,,,
22400,,,50,-44.4136,91.1445,,,,,,,
22450,,,50,-55.4802,91.0517,,,,,,,
22500,,,,,,19.403,3.0026,0.0006,-0.0168,0.2193,10.43,1.0536
22500,,,50,-61.2053,91.0094,,,,,,,
22550,,,50,-60.0796,91.241,,,,,,,
22600,,,50,-56.2172,91.0591,,,,,,,
22650,,,50,-52.1811,90.9145,,,,,,,
22700,,,50,-50.952,89.0746,,,,,,,
22750,,,50,-52.8032,90.9653,,,,,,,
22800,,,50,-53.1268,91.0343,,,,,,,
22850,,,50,-52.085,90.8823,,,,,,,
22900,,,50,-49.0674,91.0867,,,,,,,
22950,,,50,-51.4721,90.9823,,,,,,,
23000,,,,,,19.2569,2.1848,0.0006,-0.0181,0.2506,16.9063,0.8375
23000,,,50,-49.3381,91.0553,,,,,,,
23050,,,50,-56.8955,91.2155,,,,,,,
23100,,,50,-49.0672,90.6463,,,,,,,
