env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
75000,-102.9484,1306.5,,,,,,,,,,,
75500,,,,,,4701.4697,-44.1823,-44.1823,4709.083,29529.3809,0.9957,62.6385,0.8784
76000,,,,,,4360.5845,-44.1823,-44.1823,4368.9966,33382.5391,0.9561,50.2604,0.9212
76500,,,,,,4720.9873,-44.1823,-44.1823,4727.9551,33591.9727,0.5996,71.4413,0.8842
76593,,,1600,-90.6836,52.73,,,,,,,,
77000,,,,,,5070.0029,-44.1823,-44.1823,5078.4717,37289.4492,0.6854,56.4154,0.8198
77500,,,,,,4545.3315,-44.1823,-44.1823,4551.0322,43324.9883,1.028,51.1544,0.6632
78000,,,,,,4440.8711,-44.1823,-44.1823,4448.502,37723.4492,0.8284,58.7514,0.7304
78193,,,1600,-93.0216,81.5527,,,,,,,,
78492,,,299,-135.2987,82.8757,,,,,,,,
78500,,,,,,5103.7412,-44.1823,-44.1823,5111.4209,36406.4805,1.3042,111.2246,0.8477
78588,,,96,-102.1755,81.7366,,,,,,,,
78753,,,165,-113.7537,80.9174,,,,,,,,
79000,,,,,,4444.1299,-44.1823,-44.1823,4450.2212,23905.1641,1.6956,102.003,0.6256
79500,,,,,,4583.9736,-44.1823,-44.1823,4591.6021,29661.5938,1.8323,127.5276,1.095
80000,,,,,,4641.3906,-44.1823,-44.1823,4651.1401,27310.2441,1.4321,96.8332,0.7058
80000,-113.7801,451.3,,,,,,,,,,,
80353,,,1600,-134.1224,68.6381,,,,,,,,
80500,,,,,,4761.6338,-44.1823,-44.1822,4767.2866,38471.9414,1.0105,63.462,1.1175
80590,,,237,-112.4216,82.8877,,,,,,,,
81000,,,,,,4999.0107,-44.1823,-44.1823,5004.3052,35140.2656,0.7907,47.5325,0.9178
81057,,,467,-142.317,82.6814,,,,,,,,
81453,,,396,-130.2005,82.2869,,,,,,,,
81500,,,,,,4554.7588,-44.1823,-44.1823,4562.6519,28441.4062,1.2328,129.1345,0.7614
81888,,,435,-132.639,82.544,,,,,,,,
81973,,,85,-110.0271,82.2985,,,,,,,,
82000,,,,,,4596.0083,-44.1823,-44.1823,4604.3511,27159.2734,1.691,104.5777,0.9192
82106,,,133,-132.7324,82.9582,,,,,,,,
82500,,,,,,4883.7188,-44.1823,-44.1823,4891.2427,37249.3516,1.2102,71.3156,0.5393
83000,,,,,,5143.6553,-44.1823,-44.1823,5151.666,39219.4727,1.3617,93.6658,0.8012
83500,,,,,,4792.4224,-44.1823,-44.1823,4800.9624,44112.4102,1.1477,58.0159,1.427
83706,,,1600,-107.993,82.3306,,,,,,,,
84000,,,,,,4935.9971,-44.1823,-44.1823,4944.5684,28254.5449,0.9175,53.0038,0.7635
