env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
75000,,,1.166,0.6217,0.4592,103.7791,8.0866,1.2511,-0.4591,0.8703,21.6988,1.3013,,,
75000,-154.653,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,-132.446,44.6403
75500,,,1.2063,0.5711,0.4926,104.0961,9.8721,1.2468,-0.4729,0.9405,12.3184,1.354,,,
76000,,,1.1975,0.6111,0.4651,101.439,8.008,1.2142,-0.4416,0.8109,18.0346,0.708,,,
76000,,,,,,,,,,,,,1000,1.2783,48.0308
76500,,,1.1803,0.5962,0.4745,101.3215,5.0061,1.2163,-0.4622,0.721,8.564,0.6972,,,
77000,,,1.1177,0.5875,0.4375,93.3679,7.9863,1.1411,-0.4376,0.6109,9.1884,0.9071,,,
77000,,,,,,,,,,,,,1000,12.0408,48.459
77500,,,1.2138,0.5831,0.4936,106.1742,9.3166,1.2576,-0.4678,0.41,8.1004,0.5345,,,
78000,,,1.1447,0.592,0.4563,102.1667,5.3239,1.2203,-0.4511,0.3232,6.0809,0.8208,,,
78000,,,,,,,,,,,,,1000,-120.9104,48.0549
78500,,,1.1504,0.619,0.4514,103.9842,7.4663,1.2307,-0.4559,0.3149,5.0926,0.7114,,,
79000,,,1.2609,0.5723,0.3373,26.3756,7.3805,0.458,-0.3131,0.8893,11.9706,0.5454,,,
79000,,,,,,,,,,,,,1000,-214.1537,48.462
79500,,,1.2159,0.622,0.4099,69.6428,6.5986,0.8844,-0.4117,0.2928,3.4314,0.5167,,,
80000,,,1.2163,0.5826,0.4738,104.9525,5.7168,1.2282,-0.4597,0.2956,4.2346,0.3656,,,
80000,-316.3393,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,-300.1083,44.78
80500,,,1.2035,0.5902,0.476,109.3937,6.2337,1.2759,-0.4601,0.3353,4.2384,0.6246,,,
81000,,,1.1418,0.5746,0.4421,98.1906,6.2077,1.1656,-0.4611,0.3608,6.8506,0.6825,,,
81000,,,,,,,,,,,,,1000,-194.0337,47.9969
81500,,,1.1616,0.5921,0.4604,105.1903,4.7859,1.23,-0.4715,0.3181,9.4281,0.6339,,,
82000,,,1.1807,0.5878,0.334,61.9553,13.0877,0.7899,-0.3259,2.3314,11.1004,0.6865,,,
82000,,,,,,,,,,,,,1000,-105.0721,48.2569
82500,,,1.3036,0.5985,0.3068,25.5346,10.3704,0.4269,-0.3055,0.7819,7.2705,0.2922,,,
83000,,,1.2858,0.6021,0.4157,50.3812,8.2646,0.671,-0.4064,0.5951,8.0419,0.3268,,,
83000,,,,,,,,,,,,,1000,-328.4863,48.2568
83500,,,1.2261,0.5579,0.4615,90.3,16.4903,1.077,-0.4435,0.7076,5.1592,0.5337,,,
84000,,,1.176,0.6111,0.477,115.8048,34.1337,1.3295,-0.4622,0.8452,16.2364,0.6996,,,
84000,,,,,,,,,,,,,1000,50.9284,48.5241
84500,,,1.1715,0.5832,0.4799,121.6281,17.4001,1.3865,-0.475,0.9588,12.8231,1.344,,,
85000,,,1.1783,0.6217,0.4847,125.5155,23.4705,1.4322,-0.5085,0.7187,9.5863,0.9359,,,
85000,-120.7919,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,-54.8489,44.6993
85500,,,1.2166,0.5727,0.5135,117.9442,14.1551,1.3555,-0.4776,0.6275,12.0713,0.5321,,,
86000,,,1.1976,0.5797,0.4919,110.0414,27.3179,1.2751,-0.483,0.8298,23.1391,0.962,,,
86000,,,,,,,,,,,,,1000,-321.0122,48.0196
86500,,,1.1652,0.6094,0.4645,116.2284,29.4584,1.3383,-0.4572,1.14,15.0236,0.9675,,,
87000,,,1.1301,0.5933,0.4533,116.508,23.0296,1.3432,-0.4946,0.9224,10.8931,0.7588,,,
87000,,,,,,,,,,,,,1000,-215.015,48.2274
87500,,,1.1646,0.5953,0.4761,116.2758,21.2546,1.346,-0.5019,0.776,18.5192,0.5195,,,
88000,,,1.1986,0.5771,0.4939,113.6588,23.0539,1.3202,-0.4981,0.8608,11.4632,0.7474,,,
88000,,,,,,,,,,,,,1000,67.1717,48.3621
88500,,,1.1973,0.5688,0.4965,116.7219,26.1949,1.3457,-0.4815,0.7762,14.6906,1.0669,,,
89000,,,1.2155,0.6079,0.4847,125.2105,43.7218,1.4365,-0.4792,1.1517,24.8792,1.2491,,,
89000,,,,,,,,,,,,,1000,-91.5826,47.7391
89500,,,1.2132,0.5818,0.473,102.6396,53.5554,1.2055,-0.4613,1.2082,26.1022,1.0707,,,
