env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
590000,0.9363,10.2,1.0,0.3765,7.9114,0.7065,0.001,0.0,0.0023,756.472
600000,0.9287,11.4,1.0,0.3815,7.9051,0.7091,0.001,0.0,0.0022,760.1796
610000,0.9519,7.7,1.0,0.418,7.6278,0.7277,0.001,0.0,0.0023,752.3899
620000,0.9531,7.5,1.0,0.4073,7.8989,0.7227,0.001,0.0,0.0023,755.5004
630000,0.9406,9.5,1.0,0.432,7.5529,0.7341,0.001,0.0,0.0022,755.2829
640000,0.9419,9.3,1.0,0.4664,7.9872,0.7532,0.001,0.0,0.0022,755.7951
650000,0.97,4.8,1.0,0.4175,7.8003,0.7278,0.001,0.0,0.0022,752.1956
660000,0.9331,10.7,1.0,0.488,7.7101,0.7633,0.001,0.0,0.0022,751.8982
670000,0.9544,7.3,1.0,0.4345,7.6161,0.7357,0.001,0.0,0.0022,743.989
680000,0.9456,8.7,1.0,0.4571,7.5358,0.7468,0.001,0.0,0.0021,746.0908
690000,0.96,6.4,1.0,0.4674,7.6746,0.7529,0.001,0.0,0.0022,745.9628
700000,0.965,5.6,1.0,0.4928,7.6394,0.7655,0.001,0.0,0.0022,745.1395
710000,0.9681,5.1,1.0,0.5236,7.2307,0.7802,0.001,0.0,0.0021,739.285
720000,0.9631,5.9,1.0,0.5065,7.6805,0.7727,0.001,0.0,0.0021,746.242
730000,0.9606,6.3,1.0,0.4931,7.5301,0.7658,0.001,0.0,0.0021,752.2452
740000,0.9563,7.0,1.0,0.5311,7.77,0.7855,0.001,0.0,0.0021,748.4903
750000,0.9481,8.3,1.0,0.5327,7.6161,0.786,0.001,0.0,0.0021,747.3403
760000,0.9481,8.3,1.0,0.5709,7.2939,0.8045,0.001,0.0,0.0021,748.5675
770000,0.9619,6.1,1.0,0.5614,7.4627,0.8,0.001,0.0,0.0021,745.6359
780000,0.9338,10.6,1.0,0.5534,7.57,0.7964,0.001,0.0,0.0021,750.5114
790000,0.9662,5.4,1.0,0.5624,7.7101,0.8011,0.001,0.0,0.0021,746.4263
800000,0.9556,7.1,1.0,0.52,7.5988,0.7796,0.001,0.0,0.002,745.6856
810000,0.9519,7.7,1.0,0.5845,7.764,0.8129,0.001,0.0,0.0021,745.2738
820000,0.9506,7.9,1.0,0.5688,7.6628,0.8046,0.001,0.0,0.002,742.0394
830000,0.9306,11.1,1.0,0.595,7.7101,0.818,0.001,0.0,0.0021,741.0708
840000,0.9394,9.7,1.0,0.6314,7.6746,0.8365,0.001,0.0,0.002,732.83
850000,0.9488,8.2,1.0,0.635,7.722,0.8386,0.001,0.0,0.002,733.1913
860000,0.9575,6.8,1.0,0.6323,7.5415,0.8363,0.001,0.0,0.002,735.3777
870000,0.9475,8.4,1.0,0.6042,7.5415,0.822,0.001,0.0,0.0021,730.9076
880000,0.9438,9.0,1.0,0.6073,7.3099,0.8231,0.001,0.0,0.002,727.6828
890000,0.9325,10.8,1.0,0.6443,7.5301,0.8426,0.001,0.0,0.002,729.0042
900000,0.9569,6.9,1.0,0.6651,7.6746,0.8534,0.001,0.0,0.002,735.1793
910000,0.96,6.4,1.0,0.6211,7.4349,0.8305,0.001,0.0,0.0021,734.1377
920000,0.94,9.6,1.0,0.6496,7.4074,0.8452,0.001,0.0,0.0021,732.9784
930000,0.9575,6.8,1.0,0.6601,7.8493,0.8516,0.001,0.0,0.002,731.687
940000,0.9444,8.9,1.0,0.6696,7.5529,0.8557,0.001,0.0,0.002,730.5547
950000,0.9381,9.9,1.0,0.6742,7.8864,0.8588,0.001,0.0,0.002,726.938
960000,0.965,5.6,1.0,0.6808,7.6746,0.8619,0.001,0.0,0.0021,720.5382
970000,0.9463,8.6,1.0,0.6471,7.8802,0.8455,0.001,0.0,0.0021,728.3472
980000,0.9488,8.2,1.0,0.7101,7.4794,0.8758,0.001,0.0,0.002,716.6939
990000,0.94,9.6,1.0,0.678,7.6805,0.8602,0.001,0.0,0.002,720.358
1000000,0.9656,5.5,1.0,0.6834,7.6104,0.863,0.001,0.0,0.002,719.8867
1010000,0.9656,5.5,1.0,0.68,7.4906,0.8607,0.001,0.0,0.002,721.4189
1020000,0.9512,7.8,1.0,0.6797,7.5245,0.8608,0.001,0.0,0.002,718.1088
1030000,0.9487,8.2,1.0,0.6709,7.6923,0.8569,0.001,0.0,0.002,714.3145
1040000,0.9488,8.2,1.0,0.6953,7.4239,0.8686,0.001,0.0,0.0019,713.7337
1050000,0.945,8.8,1.0,0.6839,7.722,0.8633,0.001,0.0,0.002,714.0517
1060000,0.9387,9.8,1.0,0.7106,7.4516,0.8763,0.001,0.0,0.0019,711.6692
1070000,0.9556,7.1,1.0,0.674,7.4906,0.8577,0.001,0.0,0.0019,713.333
1080000,0.9556,7.1,1.0,0.7198,7.6046,0.8814,0.001,0.0,0.002,718.7245
1090000,0.9331,10.7,1.0,0.7309,7.4571,0.8867,0.001,0.0,0.0019,715.6871
