env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
45500,,,,,,3584.0083,3595.6572,18378.5801,3584.0083,2.1067,113.3847,0.8534
45571,,,187,-118.7986,82.5826,,,,,,,
45622,,,51,-108.3762,80.2431,,,,,,,
45693,,,71,-121.2692,80.0209,,,,,,,
46000,,,,,,3818.5537,3830.021,28412.8789,3818.5537,2.3577,124.9773,0.6994
46500,,,,,,3790.9966,3802.137,28932.2129,3790.9966,3.0265,165.3731,0.8506
47000,,,,,,3701.5681,3712.2361,32091.6953,3701.5681,2.9563,113.7262,0.7898
47293,,,1600,-138.0732,85.8165,,,,,,,
47500,,,,,,3831.7405,3843.0239,24459.5605,3831.7405,2.1543,99.5673,0.5622
48000,,,,,,4040.0229,4051.3464,37874.1953,4040.0229,1.8999,87.1233,0.7585
48500,,,,,,4117.6025,4128.313,27718.916,4117.6025,2.3431,93.5631,0.6472
48893,,,1600,-138.2512,85.6206,,,,,,,
49000,,,,,,3976.4502,3988.448,25035.1758,3976.4502,1.6071,92.1734,0.6418
49422,,,529,-124.6126,84.4788,,,,,,,
49500,,,,,,3892.5879,3904.5037,23991.2031,3892.5879,2.0844,174.866,0.7956
49546,,,124,-112.6323,83.7408,,,,,,,
50000,,,,,,3795.606,3807.3318,22492.8203,3795.606,2.0755,114.3954,0.6715
50000,-143.6134,965.2,,,,,,,,,,
50500,,,,,,4113.8008,4125.6479,32462.7832,4113.8008,2.5299,132.523,0.5185
51000,,,,,,4206.5088,4217.958,32683.25,4206.5088,2.133,109.0953,0.7142
51146,,,1600,-85.3561,70.4511,,,,,,,
51500,,,,,,4296.687,4308.397,26862.5586,4296.687,1.5222,88.8792,0.647
52000,,,,,,4455.8887,4466.6377,50623.4375,4455.8887,2.0241,84.0892,0.995
52500,,,,,,4106.9404,4118.0083,41383.8789,4106.9404,2.3808,151.4337,0.7599
52746,,,1600,-71.0301,84.1262,,,,,,,
53000,,,,,,4347.7847,4358.54,28682.7969,4347.7847,1.2942,90.3464,0.6512
53500,,,,,,4224.8369,4234.1631,32365.3359,4224.8369,1.8918,119.6293,0.9329
54000,,,,,,4096.0483,4106.9268,40726.9609,4096.0483,1.7684,60.4222,0.7716
54346,,,1600,-93.2241,84.6523,,,,,,,
54500,,,,,,4517.5869,4527.2437,43058.8594,4517.5869,1.6496,106.8716,0.6107
55000,,,,,,4314.7876,4324.3916,24923.7402,4314.7876,1.8332,120.5895,0.9501
55000,-114.9241,1600.0,,,,,,,,,,
55500,,,,,,4065.5952,4074.8191,23252.8691,4065.5952,1.6561,115.5254,0.7627
55946,,,1600,-87.7475,62.6156,,,,,,,
56000,,,,,,4387.3667,4396.6729,32791.3281,4387.3667,1.3022,94.7621,0.6882
56500,,,,,,4369.5835,4380.0913,31891.7285,4369.5835,2.4071,148.5098,0.6496
57000,,,,,,4623.6025,4634.2607,33431.2227,4623.6025,1.8706,94.2261,0.6611
57500,,,,,,4519.0752,4529.4551,37670.4258,4519.0752,2.579,167.6437,0.633
57546,,,1600,-110.8006,84.6355,,,,,,,
58000,,,,,,4378.8999,4388.7598,33217.9688,4378.8999,1.6179,69.7709,0.4833
58125,,,579,-145.9346,82.4452,,,,,,,
58500,,,,,,4379.8721,4389.0308,39121.1484,4379.8721,1.4936,86.2002,0.5912
58849,,,724,-154.7113,83.8136,,,,,,,
59000,,,,,,4630.8442,4641.9053,38631.1797,4630.8442,1.5434,78.1432,0.4345
59160,,,311,-115.1167,82.9272,,,,,,,
59245,,,85,-98.8366,85.519,,,,,,,
59500,,,,,,4465.499,4475.0771,24950.2012,4465.499,2.1333,66.2102,0.8038
60000,,,,,,4633.2231,4642.0049,27714.2891,4633.2231,2.0701,81.4943,0.7067
60000,-141.4992,643.6,,,,,,,,,,
60221,,,976,-150.3127,68.7395,,,,,,,
60315,,,94,-122.5796,85.9083,,,,,,,
60500,,,,,,4591.5518,4602.4087,31430.1934,4591.5518,1.664,94.4495,0.6281
61000,,,,,,4999.0327,5009.436,28469.0352,4999.0327,2.2696,111.2403,0.9615
61500,,,,,,4316.6899,4325.0942,32252.2598,4316.6899,1.7666,146.6114,0.631
61915,,,1600,-107.4176,84.7161,,,,,,,
62000,,,,,,4787.2627,4797.6479,58460.0781,4787.2627,2.0363,174.6835,0.6361
62316,,,401,-119.7191,84.5122,,,,,,,
62500,,,,,,4508.2617,4517.7192,28039.3184,4508.2617,2.3338,130.0721,0.7927
62541,,,225,-132.2457,84.9575,,,,,,,
63000,,,,,,4606.499,4614.6558,31684.0566,4606.499,2.1416,174.0458,0.9895
63500,,,,,,4879.2241,4888.3037,42086.9453,4879.2241,2.1268,100.4418,0.9032
64000,,,,,,4956.8345,4965.2183,39915.3047,4956.8345,1.5273,58.0106,0.5884
64141,,,1600,-121.2978,84.3643,,,,,,,
64280,,,139,-107.4395,83.449,,,,,,,
64500,,,,,,4819.375,4827.9888,35971.5781,4819.375,1.6786,108.8979,0.6025
65000,,,,,,4773.0518,4782.875,30189.584,4773.0518,1.6338,94.3376,0.7301
65000,-143.1463,1331.7,,,,,,,,,,
65500,,,,,,5101.8984,5111.3096,40610.1445,5101.8984,2.0473,179.822,0.8429
65880,,,1600,-110.4784,65.85,,,,,,,
66000,,,,,,4513.6123,4523.6367,47639.8398,4513.6123,1.1383,104.468,0.6741
66500,,,,,,4956.3384,4966.083,40299.9961,4956.3384,1.466,132.9068,0.7292
67000,,,,,,4862.7842,4871.9897,29692.3633,4862.7842,1.5781,106.6511,0.5378
67480,,,1600,-146.7709,83.2653,,,,,,,
67500,,,,,,4990.1948,4998.8696,33775.9297,4990.1948,1.3709,74.0535,0.6796
68000,,,,,,4754.8198,4764.2817,35179.8008,4754.8198,1.0171,93.4418,0.6274
68500,,,,,,5113.8774,5122.749,36255.2969,5113.8774,1.3498,71.7195,0.5888
69000,,,,,,5036.27,5044.3564,30391.2871,5036.27,1.2468,84.8691,0.462
69080,,,1600,-147.6855,85.0232,,,,,,,
69190,,,110,-128.4847,84.1689,,,,,,,
69500,,,,,,5013.2109,5022.478,35035.9727,5013.2109,1.1274,64.2558,0.3976
70000,,,,,,4806.1895,4815.8687,28400.3613,4806.1895,1.5354,132.7638,0.6001
70000,-143.1696,1600.0,,,,,,,,,,
70500,,,,,,4870.3242,4879.3462,26339.0742,4870.3242,1.1054,85.9328,0.514
70790,,,1600,-139.8948,62.6917,,,,,,,
71000,,,,,,4872.5664,4880.7075,41933.9023,4872.5664,1.076,91.9067,0.4246
71500,,,,,,4854.9746,4863.9927,33186.5742,4854.9746,0.7808,67.5917,0.5889
