env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
30271,,,12,-6.3471,106.3988,,,,,,,
30299,,,28,5.6501,106.0084,,,,,,,
30458,,,159,263.7674,105.9056,,,,,,,
30500,,,,,,17.7404,-415.7294,228.43,17.7404,467.7513,10060.2021,21.0951
30726,,,268,533.1533,106.1042,,,,,,,
30799,,,73,60.8367,105.6905,,,,,,,
30947,,,148,123.175,106.4768,,,,,,,
31000,,,,,,16.9041,-411.3788,156.7945,16.9041,340.1268,8587.1455,16.4023
31192,,,245,404.4623,106.0855,,,,,,,
31397,,,205,331.7726,106.4998,,,,,,,
31500,,,,,,17.4227,-411.7446,194.9375,17.4227,388.8892,11347.2168,21.1612
31760,,,363,279.2154,107.4882,,,,,,,
31787,,,27,6.3277,110.2113,,,,,,,
31975,,,188,369.967,110.208,,,,,,,
32000,,,,,,17.4543,-401.492,179.4484,17.4543,355.4847,9221.0879,18.826
32004,,,29,9.8823,110.2898,,,,,,,
32032,,,28,3.7033,109.9154,,,,,,,
32244,,,212,335.0925,107.3607,,,,,,,
32261,,,17,-3.3995,106.9664,,,,,,,
32285,,,24,1.0071,105.9301,,,,,,,
32392,,,107,212.5805,106.3947,,,,,,,
32437,,,45,22.3374,106.2365,,,,,,,
32462,,,25,2.0593,106.1362,,,,,,,
32493,,,31,10.5937,106.2825,,,,,,,
32500,,,,,,17.1496,-397.1039,133.3243,17.1496,445.88,9372.4678,13.1654
32776,,,283,378.7568,106.2001,,,,,,,
33000,,,,,,17.3684,-399.3096,189.2841,17.3684,298.9516,8787.3408,19.9954
33221,,,445,257.2175,106.5461,,,,,,,
33378,,,157,-14.9588,109.0472,,,,,,,
33401,,,23,-1.9375,106.4047,,,,,,,
33500,,,,,,16.0155,-397.3058,144.0961,16.0155,283.8597,5695.3403,16.5161
33693,,,292,381.2795,106.4411,,,,,,,
33723,,,30,7.9698,106.0543,,,,,,,
33852,,,129,33.0224,106.2309,,,,,,,
34000,,,,,,16.9042,-399.9737,216.0658,16.9042,263.2491,5723.5249,18.476
34046,,,194,67.0904,106.2566,,,,,,,
34067,,,21,-3.9513,106.3778,,,,,,,
34123,,,56,34.1198,109.8977,,,,,,,
34255,,,132,76.2749,109.0044,,,,,,,
34267,,,12,-3.4558,105.9774,,,,,,,
34281,,,14,-4.0642,104.9958,,,,,,,
34302,,,21,-2.7134,105.4138,,,,,,,
34422,,,120,55.1051,106.613,,,,,,,
34462,,,40,14.0541,105.9919,,,,,,,
34500,,,,,,16.5577,-383.6051,147.1618,16.5577,322.1589,18967.8223,15.1224
34817,,,355,407.6486,106.0329,,,,,,,
34850,,,33,6.8817,106.6065,,,,,,,
