env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
29928,,,24,-23.0523,73.2311,,,,,,,,,,,,
29951,,,23,-35.3418,73.2646,,,,,,,,,,,,
30000,,,,,,50,50,29,58.2776,95.4608,51.4037,-44.1823,87.4509,204.3073,23.4383,831.7101,6.5081
30000,-384.3215,1000.0,,,,,,,,,,,,,,,
30039,,,88,-133.149,12.9429,,,,,,,,,,,,
30056,,,17,-20.6985,69.8465,,,,,,,,,,,,
30500,,,,,,50,50,29,59.3246,96.3833,49.3117,-44.1823,85.3221,225.3838,33.4174,1267.2533,6.6773
31000,,,,,,50,50,29,58.2469,94.4127,49.2863,-44.1823,80.7457,207.5921,25.4059,1197.8549,6.6315
31056,,,1000,-973.7775,69.661,,,,,,,,,,,,
31186,,,130,-109.8311,69.9849,,,,,,,,,,,,
31314,,,128,-110.1156,69.9493,,,,,,,,,,,,
31350,,,36,-35.1009,72.4793,,,,,,,,,,,,
31462,,,112,-106.0374,69.8963,,,,,,,,,,,,
31500,,,,,,50,50,29,57.0661,98.0686,53.6826,-44.1823,79.6205,203.5983,25.066,780.0674,6.9929
31529,,,67,-64.2162,69.9679,,,,,,,,,,,,
31682,,,153,-82.624,69.3549,,,,,,,,,,,,
32000,,,,,,50,50,29,55.4573,97.7684,53.6094,-44.1823,85.4211,232.731,38.814,1264.324,7.328
32329,,,647,-608.4966,69.6928,,,,,,,,,,,,
32500,,,,,,50,50,29,57.5446,98.1191,50.7857,-44.1823,86.4203,256.8178,29.6038,845.5436,7.2992
32702,,,373,-309.4309,70.4964,,,,,,,,,,,,
32744,,,42,-62.6246,72.3124,,,,,,,,,,,,
32891,,,147,-114.4745,72.5636,,,,,,,,,,,,
32954,,,63,-48.543,72.8034,,,,,,,,,,,,
33000,,,,,,50,50,29,53.7878,98.921,52.2472,-44.1823,72.3687,233.5896,31.4348,885.5726,8.0958
33086,,,132,-117.3346,72.6872,,,,,,,,,,,,
33223,,,137,-117.2031,72.7008,,,,,,,,,,,,
33236,,,13,-9.6911,72.6505,,,,,,,,,,,,
33359,,,123,-164.2695,72.6521,,,,,,,,,,,,
33488,,,129,-131.176,72.6376,,,,,,,,,,,,
33500,,,,,,50,50,29,56.6501,95.8569,50.2434,-44.1823,74.2546,266.7112,36.4446,899.622,7.5627
33841,,,353,-313.871,72.5804,,,,,,,,,,,,
34000,,,,,,50,50,29,53.614,97.0426,53.17,-44.1823,76.1542,194.7126,32.1585,1094.1266,8.3258
34172,,,331,-318.0223,72.6457,,,,,,,,,,,,
34413,,,241,-232.4546,72.6625,,,,,,,,,,,,
34500,,,,,,50,50,29,61.0889,98.1912,54.2328,-44.1823,81.9594,188.5575,43.2469,1081.219,7.4292
34590,,,177,-147.5643,72.7287,,,,,,,,,,,,
34631,,,41,-20.6657,72.8504,,,,,,,,,,,,
34693,,,62,-59.5484,72.8369,,,,,,,,,,,,
34863,,,170,-166.2372,70.0218,,,,,,,,,,,,
34948,,,85,-92.1247,69.9205,,,,,,,,,,,,
35000,,,,,,50,50,29,54.2312,96.1575,53.2617,-44.1823,76.5492,212.7466,34.4536,1017.0081,7.4022
35000,-10.0258,756.9,,,,,,,,,,,,,,,
35500,,,,,,50,50,29,54.7827,99.5215,54.0997,-44.1823,79.979,192.0913,43.589,1480.4373,8.6675
35948,,,1000,-1058.9269,55.4558,,,,,,,,,,,,
36000,,,,,,50,50,29,56.9024,97.3102,53.7661,-44.1823,74.6876,182.3753,34.8754,935.2081,8.1619
36040,,,92,-91.7449,72.6533,,,,,,,,,,,,
36166,,,126,-157.8885,72.6165,,,,,,,,,,,,
36291,,,125,-117.5537,72.7567,,,,,,,,,,,,
36381,,,90,-46.8006,72.541,,,,,,,,,,,,
36500,,,,,,50,50,29,52.4085,98.7458,53.8002,-44.1823,78.8457,203.8646,35.8367,1095.7699,7.6392
36596,,,215,-163.2812,72.2542,,,,,,,,,,,,
36663,,,67,-62.019,72.5933,,,,,,,,,,,,
36706,,,43,-55.0944,72.3801,,,,,,,,,,,,
36920,,,214,-207.6392,72.6298,,,,,,,,,,,,
36940,,,20,-22.2479,72.6268,,,,,,,,,,,,
36989,,,49,-22.2815,72.4485,,,,,,,,,,,,
37000,,,,,,50,50,29,53.8161,97.3528,52.451,-44.1823,76.263,190.6375,29.8267,1096.0918,7.9988
37077,,,88,-57.6575,72.4708,,,,,,,,,,,,
37203,,,126,-112.1522,72.561,,,,,,,,,,,,
